Reservation,Freq
Yavapai-Presscott,2
Quapaw,3
Rosebud,2
Turtle Mountain,4
Tyonek,1
Isleta,3
Mattaponi,2
San Carlos,2
Mississippi Choctaw,2
Teller,1
Kaw/Ponca,2
Ute Mountain,6
Lake Traverse,5
Duck Valley,3
Summit Lake,2
Lac du Flambeau,2
Fort Apache,2
Huron Potawatomi,2
Wales,1
Tunica-Biloxi,2
Immokalee,2
Fort Pierce,2
Yavapai-Apache Nation,2
Lower Brule,2
Tanana,1
Togiak,1
South Fork,2
Fort Belknap,2
Tulalip,1
Oneida Nation,3
Tatitlek,1
Bois forte,2
Cheyenne and Arapaho,2
Passamaquoddy,4
Hannahville,2
Pamunkey,2
Mashantucket Pequot,2
Santa Clara,5
Northern Cheyenne,4
Sac and Fox Nation,4
Battle Mountain,2
Caddo-Wichita-Delaware,3
Citizen Potawatomi Nation-Absentee Shawnee,3
Omaha,5
Laguna,2
Santo Domingo,6
Sault Ste. Marie,2
Iowa,2
Kiowa-Comanche-Apache-Fort Sill Apache,2
Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware,2
Miami,2
Brighton,2
Kickapoo,6
Santee,3
Reno-Sparks,2
Fort Mojave,4
Fort McDowell Yavapai Nation,2
Grand Ronde,1
Stewart,2
Seminole,2
Ottowa,2
Wells,2
Winnebago,3
Jemez,4
Creek,3
Catawba,2
Lovelock,2
Stevens Village,1
Cheyenne River,3
Wyandotte,2
Lac Vieux Desert,2
Little Traverse Bay,2
Kaw,3
Carson,2
Pyramid lake Paiute,2
Red Lake,2
Bad River,2
Toksook Bay,1
Tetlin,1
Salt River,4
Schaghticoke,1
Pawnee,2
Pine Ridge,4
Leech Lake,2
Taos,5
Standing Rock,4
Campbell,2
Fort Berthold,3
Nambe,2
Ohkay Owingeh,2
Hualapai,2
Ely,2
Duckwater,2
Paiute (UT),2
Goshute,4
Winnemucca,2
Stony River,1
Nez Perce,1
Gila River,2
Poarch Creek,5
Bois Forte,4
Flathead,2
Eastern Cherokee,2
Choctaw,5
Seneca-Cayuga,2
Wainwright,1
Wrangell,2
Indian Township,1
Tama,2
Pleasant Point,1
Tuntutuliak,1
Tesuque,2
Tonto Apache,2
Fort McDermitt,2
Southern Ute,2
Fort Hall,1
Sandia,3
Navajo Nation,7
Hopi,2
Mescalero,2
Peoria,3
Fallon Paiute-Shoshone,4
Fort Yuma,2
Penobscot,2
Wampanoag-Aquinnah,1
Crow,2
MOWA Choctaw,1
Grand Traverse,2
Ho-Chunk Nation,4
Lower Sioux,2
Prairie Island,2
St. Regis Mohawk,1
Osage,3
Washoe Ranches,2
Cherokee,3
Havasupai,2
Elko,2
Kaibab,2
Bay Mills,2
Colorado River,2
Jicarilla Apache Nation,2
Red Cliff,2
Walker River,2
Sac and Fox,2
Moapa River,2
Sac and Fox/Meskwaki,3
Dresslerville,2
Hollywood,2
Uintah and Ouray,2
Cocopah,2
Coeur d'Alene,1
Yankton,2
Upper Sioux,3
Las Vegas,2
Stebbins,1
L'Anse,2
Ysleta del Sur,2
Chitimacha,2
Tuluksak,1
Flandreau,2
Creek/Seminole,2
Spirit Lake,2
Yerington,2
San Ildefonso,2
Zia,4
Rocky Boy's,2
Yakutat,1
Skull Valley,2
White Mountain,1
Cochiti,2
Big Cypress,2
Takotna,1
Yomba,2
St. Croix,2
White Earth,2
Venetie,1
Crow Creek,2
Grand Portage,2
Alabama-Coushatta,3
Santa Ana,6
Pascua Pueblo Yaqui,2
Tonkawa,2
Oneida (WI),2
Ponca,3
Wind River,2
Tununak,1
Unalaska,1
Chickasaw,3
Unalakleet,1
Miccosukee,1
Menominee,2
Modoc,2
Eastern Shawnee,2
Mille Lacs,2
Iowa (KS-NE),2
Coushatta,3
Golden Hill Paugussett,1
Tampa,2
Fond du Lac,2
Zuni,7
Prairie Band of Potawatomi Nation,2
Stockbridge Munsee,2
Sokaogon Chippewa,2
Forest County Potawatomi,2
Isabella,2
Blackfeet,2
Narragansett,2
Twin Hills,1
Shakopee Mdewakanton Sioux,3
Tohono O'odham Nation,2
Lac Courte Oreilles,2
Paucatuck Eastern Pequot,1
Tanacross,1
Miami/Peoria,2
Ontonagon,2
Mashpee Wampanoag,1
Otoe-Missouria,2
Fort Peck,3
Northwestern Shoshone,2
Kootenai,1
San Felipe,5
San Felipe Pueblo/Santa Ana Pueblo,2
San Felipe Pueblo/Santo Domingo Pueblo,2
Acoma,3
Picuris,3
Pojoaque,2
Houlton Maliseet,1
Minnesota Chippewa,1
